x1 x2 x3 v
0.125 0.125 0 0.0425582
0.125 0.375 0 0.0774295
0.125 0.625 0 0.0633062
0.125 0.875 0 0.0512815
0.125 1.125 0 0.0558811
0.125 1.375 0 0.0534154
0.125 1.625 0 0.0535477
0.125 1.875 0 0.0567088
0.125 2.125 0 0.0556379
0.125 2.375 0 0.0541021
0.125 2.625 0 0.0542824
0.125 2.875 0 0.0569346
0.125 3.125 0 0.0568148
0.125 3.375 0 0.0537255
0.125 3.625 0 0.0547618
0.125 3.875 0 0.0575335
0.125 4.125 0 0.0520803
0.125 4.375 0 0.0581437
0.125 4.625 0 0.0795786
0.125 4.875 0 0.0540658
0.375 0.125 0 0.062413
0.375 0.375 0 0.0938214
0.375 0.625 0 0.0767238
0.375 0.875 0 0.0695978
0.375 1.125 0 0.0653929
0.375 1.375 0 0.0642669
0.375 1.625 0 0.0678512
0.375 1.875 0 0.069887
0.375 2.125 0 0.069328
0.375 2.375 0 0.0676775
0.375 2.625 0 0.0665988
0.375 2.875 0 0.0673899
0.375 3.125 0 0.0677192
0.375 3.375 0 0.0673057
0.375 3.625 0 0.0679767
0.375 3.875 0 0.0684352
0.375 4.125 0 0.0652948
0.375 4.375 0 0.0778601
0.375 4.625 0 0.0944817
0.375 4.875 0 0.0650444
0.625 0.125 0 0.0412605
0.625 0.375 0 0.0689733
0.625 0.625 0 0.0657471
0.625 0.875 0 0.0571092
0.625 1.125 0 0.0557204
0.625 1.375 0 0.0531416
0.625 1.625 0 0.0553368
0.625 1.875 0 0.0576791
0.625 2.125 0 0.0575338
0.625 2.375 0 0.0562706
0.625 2.625 0 0.0549179
0.625 2.875 0 0.0553913
0.625 3.125 0 0.0565201
0.625 3.375 0 0.0550889
0.625 3.625 0 0.0556023
0.625 3.875 0 0.0578974
0.625 4.125 0 0.0556453
0.625 4.375 0 0.0653857
0.625 4.625 0 0.0682157
0.625 4.875 0 0.0430639
0.875 0.125 0 0.0143008
0.875 0.375 0 0.0355761
0.875 0.625 0 0.0382056
0.875 0.875 0 0.0328522
0.875 1.125 0 0.0325236
0.875 1.375 0 0.0311639
0.875 1.625 0 0.0310523
0.875 1.875 0 0.032779
0.875 2.125 0 0.0329244
0.875 2.375 0 0.032476
0.875 2.625 0 0.0311722
0.875 2.875 0 0.0319305
0.875 3.125 0 0.0322574
0.875 3.375 0 0.0299449
0.875 3.625 0 0.0330385
0.875 3.875 0 0.0344646
0.875 4.125 0 0.0316654
0.875 4.375 0 0.0382172
0.875 4.625 0 0.0336505
0.875 4.875 0 0.0141083
1.125 0.125 0 0.00327644
1.125 0.375 0 0.01881
1.125 0.625 0 0.0187875
1.125 0.875 0 0.0128856
1.125 1.125 0 0.0159739
1.125 1.375 0 0.0160774
1.125 1.625 0 0.014319
1.125 1.875 0 0.0152581
1.125 2.125 0 0.0154717
1.125 2.375 0 0.0151811
1.125 2.625 0 0.0147486
1.125 2.875 0 0.0152558
1.125 3.125 0 0.0149759
1.125 3.375 0 0.0133359
1.125 3.625 0 0.0168879
1.125 3.875 0 0.0176478
1.125 4.125 0 0.0130178
1.125 4.375 0 0.0176664
1.125 4.625 0 0.0173454
1.125 4.875 0 0.00623893
1.375 0.125 0 0.00125876
1.375 0.375 0 0.00646536
1.375 0.625 0 0.00533664
1.375 0.875 0 0.000201425
1.375 1.125 0 0.00610778
1.375 1.375 0 0.00663984
1.375 1.625 0 0.00428487
1.375 1.875 0 0.00403503
1.375 2.125 0 0.00417335
1.375 2.375 0 0.00422696
1.375 2.625 0 0.00434418
1.375 2.875 0 0.00468139
1.375 3.125 0 0.00409393
1.375 3.375 0 0.00347136
1.375 3.625 0 0.00655129
1.375 3.875 0 0.00686956
1.375 4.125 0 0.00145002
1.375 4.375 0 0.00406048
1.375 4.625 0 0.00602164
1.375 4.875 0 0.00493899
1.625 0.125 0 0.00869446
1.625 0.375 0 0.00997266
1.625 0.625 0 0.00916595
1.625 0.875 0 0.0104491
1.625 1.125 0 0.00806091
1.625 1.375 0 0.00403587
1.625 1.625 0 0.00577985
1.625 1.875 0 0.00613086
1.625 2.125 0 0.00593876
1.625 2.375 0 0.00654534
1.625 2.625 0 0.00629137
1.625 2.875 0 0.00550251
1.625 3.125 0 0.00604892
1.625 3.375 0 0.00617934
1.625 3.625 0 0.0042475
1.625 3.875 0 0.00730407
1.625 4.125 0 0.010533
1.625 4.375 0 0.0104501
1.625 4.625 0 0.00968401
1.625 4.875 0 0.00688167
1.875 0.125 0 0.0143388
1.875 0.375 0 0.0163116
1.875 0.625 0 0.0130682
1.875 0.875 0 0.0146454
1.875 1.125 0 0.0136196
1.875 1.375 0 0.0104784
1.875 1.625 0 0.0110563
1.875 1.875 0 0.0114718
1.875 2.125 0 0.0111605
1.875 2.375 0 0.0121265
1.875 2.625 0 0.0118723
1.875 2.875 0 0.0106234
1.875 3.125 0 0.0110601
1.875 3.375 0 0.0111892
1.875 3.625 0 0.0108935
1.875 3.875 0 0.0130913
1.875 4.125 0 0.014527
1.875 4.375 0 0.0142078
1.875 4.625 0 0.0148524
1.875 4.875 0 0.0110733
2.125 0.125 0 0.0109795
2.125 0.375 0 0.0116216
2.125 0.625 0 0.0100943
2.125 0.875 0 0.0113993
2.125 1.125 0 0.0122117
2.125 1.375 0 0.0105392
2.125 1.625 0 0.0101397
2.125 1.875 0 0.0103864
2.125 2.125 0 0.0099446
2.125 2.375 0 0.0106772
2.125 2.625 0 0.0104867
2.125 2.875 0 0.00967819
2.125 3.125 0 0.010172
2.125 3.375 0 0.0102569
2.125 3.625 0 0.010672
2.125 3.875 0 0.0117767
2.125 4.125 0 0.0113871
2.125 4.375 0 0.0103285
2.125 4.625 0 0.0105486
2.125 4.875 0 0.0093504
2.375 0.125 0 0.00516759
2.375 0.375 0 0.00219029
2.375 0.625 0 0.0034255
2.375 0.875 0 0.00467952
2.375 1.125 0 0.00537119
2.375 1.375 0 0.00483397
2.375 1.625 0 0.0044265
2.375 1.875 0 0.00477189
2.375 2.125 0 0.00443533
2.375 2.375 0 0.00443686
2.375 2.625 0 0.00431132
2.375 2.875 0 0.00430774
2.375 3.125 0 0.0047381
2.375 3.375 0 0.00457791
2.375 3.625 0 0.00476479
2.375 3.875 0 0.005051
2.375 4.125 0 0.00465189
2.375 4.375 0 0.0033745
2.375 4.625 0 0.00211471
2.375 4.875 0 0.00511495
2.625 0.125 0 0.00450973
2.625 0.375 0 0.00421882
2.625 0.625 0 0.00260687
2.625 0.875 0 0.00191091
2.625 1.125 0 0.00190435
2.625 1.375 0 0.00153711
2.625 1.625 0 0.00191791
2.625 1.875 0 0.00197936
2.625 2.125 0 0.00135571
2.625 2.375 0 0.00163411
2.625 2.625 0 0.00167208
2.625 2.875 0 0.00123873
2.625 3.125 0 0.00174365
2.625 3.375 0 0.002012
2.625 3.625 0 0.00180287
2.625 3.875 0 0.00183536
2.625 4.125 0 0.00186853
2.625 4.375 0 0.00269564
2.625 4.625 0 0.00431946
2.625 4.875 0 0.00506471
2.875 0.125 0 0.00484359
2.875 0.375 0 0.00490694
2.875 0.625 0 0.00245435
2.875 0.875 0 0.00166684
2.875 1.125 0 0.00229042
2.875 1.375 0 0.00255585
2.875 1.625 0 0.00282527
2.875 1.875 0 0.00275356
2.875 2.125 0 0.00224358
2.875 2.375 0 0.00228826
2.875 2.625 0 0.00233629
2.875 2.875 0 0.00225539
2.875 3.125 0 0.002669
2.875 3.375 0 0.00285507
2.875 3.625 0 0.00263995
2.875 3.875 0 0.00221308
2.875 4.125 0 0.00148009
2.875 4.375 0 0.00268762
2.875 4.625 0 0.00501718
2.875 4.875 0 0.00552603
3.125 0.125 0 0.00468849
3.125 0.375 0 0.00425465
3.125 0.625 0 0.00217493
3.125 0.875 0 0.00106142
3.125 1.125 0 5.70281e-05
3.125 1.375 0 0.000640626
3.125 1.625 0 0.00094911
3.125 1.875 0 0.00114698
3.125 2.125 0 0.0012006
3.125 2.375 0 0.000954304
3.125 2.625 0 0.000848282
3.125 2.875 0 0.00108754
3.125 3.125 0 0.0010843
3.125 3.375 0 0.000941933
3.125 3.625 0 0.000711358
3.125 3.875 0 0.000195223
3.125 4.125 0 0.00105525
3.125 4.375 0 0.00229471
3.125 4.625 0 0.00399898
3.125 4.875 0 0.00498051
3.375 0.125 0 0.00575093
3.375 0.375 0 0.00541661
3.375 0.625 0 0.00311515
3.375 0.875 0 0.00270469
3.375 1.125 0 0.00249032
3.375 1.375 0 0.00232805
3.375 1.625 0 0.00220281
3.375 1.875 0 0.00200274
3.375 2.125 0 0.00225898
3.375 2.375 0 0.00235073
3.375 2.625 0 0.00220954
3.375 2.875 0 0.00214396
3.375 3.125 0 0.0019994
3.375 3.375 0 0.0021637
3.375 3.625 0 0.00246384
3.375 3.875 0 0.0024783
3.375 4.125 0 0.002557
3.375 4.375 0 0.00327844
3.375 4.625 0 0.00504508
3.375 4.875 0 0.00541846
3.625 0.125 0 0.00567156
3.625 0.375 0 0.00496531
3.625 0.625 0 0.00275726
3.625 0.875 0 0.00307513
3.625 1.125 0 0.00360979
3.625 1.375 0 0.00352117
3.625 1.625 0 0.00326857
3.625 1.875 0 0.00317555
3.625 2.125 0 0.00307419
3.625 2.375 0 0.00317193
3.625 2.625 0 0.00315075
3.625 2.875 0 0.00315476
3.625 3.125 0 0.00323217
3.625 3.375 0 0.00320619
3.625 3.625 0 0.00351982
3.625 3.875 0 0.0035548
3.625 4.125 0 0.00291632
3.625 4.375 0 0.00294113
3.625 4.625 0 0.00500861
3.625 4.875 0 0.00565259
3.875 0.125 0 0.00499131
3.875 0.375 0 0.00387184
3.875 0.625 0 0.00155096
3.875 0.875 0 0.00190261
3.875 1.125 0 0.0024115
3.875 1.375 0 0.00222139
3.875 1.625 0 0.00216361
3.875 1.875 0 0.00224427
3.875 2.125 0 0.00212722
3.875 2.375 0 0.00222012
3.875 2.625 0 0.00225793
3.875 2.875 0 0.00222921
3.875 3.125 0 0.00231161
3.875 3.375 0 0.0021325
3.875 3.625 0 0.00216238
3.875 3.875 0 0.00234285
3.875 4.125 0 0.00179065
3.875 4.375 0 0.00175673
3.875 4.625 0 0.00400982
3.875 4.875 0 0.00515838
4.125 0.125 0 0.00488597
4.125 0.375 0 0.00435727
4.125 0.625 0 0.00177472
4.125 0.875 0 0.00137751
4.125 1.125 0 0.00164491
4.125 1.375 0 0.00137308
4.125 1.625 0 0.00138491
4.125 1.875 0 0.0014553
4.125 2.125 0 0.00131615
4.125 2.375 0 0.00136264
4.125 2.625 0 0.00136436
4.125 2.875 0 0.00132712
4.125 3.125 0 0.00145326
4.125 3.375 0 0.00139478
4.125 3.625 0 0.00139816
4.125 3.875 0 0.00161805
4.125 4.125 0 0.00125927
4.125 4.375 0 0.0019888
4.125 4.625 0 0.0043625
4.125 4.875 0 0.00495336
4.375 0.125 0 0.00450767
4.375 0.375 0 0.00480013
4.375 0.625 0 0.00224173
4.375 0.875 0 0.00140843
4.375 1.125 0 0.00191152
4.375 1.375 0 0.00165497
4.375 1.625 0 0.00184794
4.375 1.875 0 0.00183163
4.375 2.125 0 0.00166498
4.375 2.375 0 0.00169482
4.375 2.625 0 0.00167978
4.375 2.875 0 0.00167481
4.375 3.125 0 0.00183373
4.375 3.375 0 0.00183078
4.375 3.625 0 0.00164147
4.375 3.875 0 0.00190375
4.375 4.125 0 0.00139522
4.375 4.375 0 0.00224278
4.375 4.625 0 0.00471785
4.375 4.875 0 0.00475372
4.625 0.125 0 0.00345712
4.625 0.375 0 0.00375384
4.625 0.625 0 0.00156761
4.625 0.875 0 0.00100358
4.625 1.125 0 0.00123294
4.625 1.375 0 0.000926999
4.625 1.625 0 0.00100014
4.625 1.875 0 0.0009162
4.625 2.125 0 0.00097037
4.625 2.375 0 0.00105498
4.625 2.625 0 0.0010262
4.625 2.875 0 0.000910436
4.625 3.125 0 0.000845162
4.625 3.375 0 0.000988681
4.625 3.625 0 0.00100641
4.625 3.875 0 0.00119661
4.625 4.125 0 0.000941813
4.625 4.375 0 0.0015763
4.625 4.625 0 0.00349717
4.625 4.875 0 0.003402
4.875 0.125 0 0.0021018
4.875 0.375 0 0.00243025
4.875 0.625 0 0.00095043
4.875 0.875 0 0.00105943
4.875 1.125 0 0.00132681
4.875 1.375 0 0.00107266
4.875 1.625 0 0.00106772
4.875 1.875 0 0.000954629
4.875 2.125 0 0.000864583
4.875 2.375 0 0.00093764
4.875 2.625 0 0.000978065
4.875 2.875 0 0.000925642
4.875 3.125 0 0.00097043
4.875 3.375 0 0.00106859
4.875 3.625 0 0.00102886
4.875 3.875 0 0.00119726
4.875 4.125 0 0.00103718
4.875 4.375 0 0.000952538
4.875 4.625 0 0.00234518
4.875 4.875 0 0.00187083
