x1 x2 x3 v
0 0 8.48788e-07 0
0 1 7.54735e-07 0
0 2 6.04232e-07 0
0 3 4.16541e-07 0
0 4 2.10581e-07 0
0 5 1.65454e-08 0
0 6 7.06931e-07 0
0 7 1.23276e-06 0
0 8 1.59423e-06 0
0 9 1.80669e-06 0
1 0 7.54735e-07 0
1 1 8.48788e-07 0
1 2 7.54735e-07 0
1 3 6.04232e-07 0
1 4 4.16541e-07 0
1 5 2.10581e-07 0
1 6 1.65454e-08 0
1 7 7.06931e-07 0
1 8 1.23276e-06 0
1 9 1.59423e-06 0
2 0 6.04232e-07 0
2 1 7.54735e-07 0
2 2 8.48788e-07 0
2 3 7.54735e-07 0
2 4 6.04232e-07 0
2 5 4.16541e-07 0
2 6 2.10581e-07 0
2 7 1.65454e-08 0
2 8 7.06931e-07 0
2 9 1.23276e-06 0
3 0 4.16541e-07 0
3 1 6.04232e-07 0
3 2 7.54735e-07 0
3 3 8.48788e-07 0
3 4 7.54735e-07 0
3 5 6.04232e-07 0
3 6 4.16541e-07 0
3 7 2.10581e-07 0
3 8 1.65455e-08 0
3 9 7.06931e-07 0
4 0 2.10581e-07 0
4 1 4.16541e-07 0
4 2 6.04232e-07 0
4 3 7.54735e-07 0
4 4 8.48788e-07 0
4 5 7.54735e-07 0
4 6 6.04232e-07 0
4 7 4.16541e-07 0
4 8 2.10581e-07 0
4 9 1.65455e-08 0
5 0 1.65454e-08 0
5 1 2.10581e-07 0
5 2 4.16541e-07 0
5 3 6.04232e-07 0
5 4 7.54735e-07 0
5 5 8.48788e-07 0
5 6 7.54735e-07 0
5 7 6.04232e-07 0
5 8 4.16541e-07 0
5 9 2.10581e-07 0
6 0 7.06931e-07 0
6 1 1.65454e-08 0
6 2 2.10581e-07 0
6 3 4.16541e-07 0
6 4 6.04232e-07 0
6 5 7.54735e-07 0
6 6 8.48788e-07 0
6 7 7.54735e-07 0
6 8 6.04232e-07 0
6 9 4.16541e-07 0
7 0 1.23276e-06 0
7 1 7.06931e-07 0
7 2 1.65454e-08 0
7 3 2.10581e-07 0
7 4 4.16541e-07 0
7 5 6.04232e-07 0
7 6 7.54735e-07 0
7 7 8.48788e-07 0
7 8 7.54735e-07 0
7 9 6.04232e-07 0
8 0 1.59423e-06 0
8 1 1.23276e-06 0
8 2 7.06931e-07 0
8 3 1.65454e-08 0
8 4 2.10581e-07 0
8 5 4.16541e-07 0
8 6 6.04232e-07 0
8 7 7.54735e-07 0
8 8 8.48788e-07 0
8 9 7.54735e-07 0
9 0 1.80669e-06 0
9 1 1.59423e-06 0
9 2 1.23276e-06 0
9 3 7.06931e-07 0
9 4 1.65454e-08 0
9 5 2.10581e-07 0
9 6 4.16541e-07 0
9 7 6.04232e-07 0
9 8 7.54735e-07 0
9 9 8.48788e-07 0
