x1 x2 x3 v
0.192268 0.0382444 -1.99037 1.20235e-05
0.162997 0.108911 -1.99037 3.4241e-05
0.108911 0.162997 -1.99037 5.1248e-05
0.0382444 0.192268 -1.99037 6.04554e-05
-0.0382444 0.192268 -1.99037 6.04601e-05
-0.108911 0.162997 -1.99037 5.12592e-05
-0.162997 0.108911 -1.99037 3.42522e-05
-0.192268 0.0382444 -1.99037 1.20281e-05
-0.192268 -0.0382444 -1.99037 1.20281e-05
-0.162997 -0.108911 -1.99037 3.42522e-05
-0.108911 -0.162997 -1.99037 5.12592e-05
-0.0382444 -0.192268 -1.99037 6.04601e-05
0.0382444 -0.192268 -1.99037 6.04554e-05
0.108911 -0.162997 -1.99037 5.1248e-05
0.162997 -0.108911 -1.99037 3.4241e-05
0.192268 -0.0382444 -1.99037 1.20235e-05
0.569414 0.113263 -1.91388 3.89786e-06
0.482726 0.322547 -1.91388 1.1101e-05
0.322547 0.482726 -1.91388 1.66164e-05
0.113263 0.569414 -1.91388 1.96045e-05
-0.113263 0.569414 -1.91388 1.96089e-05
-0.322547 0.482726 -1.91388 1.6627e-05
-0.482726 0.322547 -1.91388 1.11115e-05
-0.569414 0.113263 -1.91388 3.9022e-06
-0.569414 -0.113263 -1.91388 3.90213e-06
-0.482726 -0.322547 -1.91388 1.11115e-05
-0.322547 -0.482726 -1.91388 1.6627e-05
-0.113263 -0.569414 -1.91388 1.96089e-05
0.113263 -0.569414 -1.91388 1.96045e-05
0.322547 -0.482726 -1.91388 1.66164e-05
0.482726 -0.322547 -1.91388 1.11009e-05
0.569414 -0.113263 -1.91388 3.89773e-06
0.924678 0.18393 -1.76384 2.17942e-06
0.783904 0.523788 -1.76384 6.204e-06
0.523788 0.783904 -1.76384 9.28805e-06
0.18393 0.924678 -1.76384 1.09588e-05
-0.18393 0.924678 -1.76384 1.09609e-05
-0.523788 0.783904 -1.76384 9.29194e-06
-0.783904 0.523788 -1.76384 6.20806e-06
-0.924678 0.18393 -1.76384 2.18031e-06
-0.924678 -0.18393 -1.76384 2.17916e-06
-0.783904 -0.523788 -1.76384 6.20715e-06
-0.523788 -0.783904 -1.76384 9.29158e-06
-0.18393 -0.924678 -1.76384 1.09611e-05
0.18393 -0.924678 -1.76384 1.09597e-05
0.523788 -0.783904 -1.76384 9.28771e-06
0.783904 -0.523788 -1.76384 6.20264e-06
0.924678 -0.18393 -1.76384 2.17704e-06
1.24441 0.247528 -1.54602 1.34446e-06
1.05496 0.7049 -1.54602 3.90888e-06
0.7049 1.05496 -1.54602 5.83487e-06
0.247528 1.24441 -1.54602 6.91271e-06
-0.247528 1.24441 -1.54602 6.89635e-06
-0.7049 1.05496 -1.54602 5.82939e-06
-1.05496 0.7049 -1.54602 3.88032e-06
-1.24441 0.247528 -1.54602 1.36244e-06
-1.24441 -0.247528 -1.54602 1.35756e-06
-1.05496 -0.7049 -1.54602 3.87711e-06
-0.7049 -1.05496 -1.54602 5.8255e-06
-0.247528 -1.24441 -1.54602 6.9056e-06
0.247528 -1.24441 -1.54602 6.91156e-06
0.7049 -1.05496 -1.54602 5.87128e-06
1.05496 -0.7049 -1.54602 3.90049e-06
1.24441 -0.247528 -1.54602 1.3682e-06
1.51631 0.301614 -1.26879 1.06218e-06
1.28547 0.858923 -1.26879 2.71705e-06
0.858923 1.28547 -1.26879 4.16683e-06
0.301614 1.51631 -1.26879 4.59865e-06
-0.301614 1.51631 -1.26879 4.58239e-06
-0.858923 1.28547 -1.26879 3.8643e-06
-1.28547 0.858923 -1.26879 2.48233e-06
-1.51631 0.301614 -1.26879 8.40256e-07
-1.51631 -0.301614 -1.26879 8.58363e-07
-1.28547 -0.858923 -1.26879 2.48359e-06
-0.858923 -1.28547 -1.26879 3.87826e-06
-0.301614 -1.51631 -1.26879 4.59001e-06
0.301614 -1.51631 -1.26879 4.64841e-06
0.858923 -1.28547 -1.26879 4.04849e-06
1.28547 -0.858923 -1.26879 2.68898e-06
1.51631 -0.301614 -1.26879 9.19426e-07
1.72995 0.344109 -0.942793 3.74444e-07
1.46658 0.979938 -0.942793 1.99071e-06
0.979938 1.46658 -0.942793 7.56545e-07
0.344109 1.72995 -0.942793 3.97639e-06
-0.344109 1.72995 -0.942793 4.08946e-06
-0.979938 1.46658 -0.942793 3.25754e-06
-1.46658 0.979938 -0.942793 3.3482e-06
-1.72995 0.344109 -0.942793 1.71096e-06
-1.72995 -0.344109 -0.942793 7.96338e-07
-1.46658 -0.979938 -0.942793 2.78651e-06
-0.979938 -1.46658 -0.942793 3.46209e-06
-0.344109 -1.72995 -0.942793 3.27939e-06
0.344109 -1.72995 -0.942793 3.26368e-06
0.979938 -1.46658 -0.942793 2.37024e-06
1.46658 -0.979938 -0.942793 1.49952e-06
1.72995 -0.344109 -0.942793 4.23695e-07
1.87711 0.37338 -0.580569 2.31814e-06
1.59133 1.0633 -0.580569 3.19665e-06
1.0633 1.59133 -0.580569 1.32067e-05
0.37338 1.87711 -0.580569 6.82081e-06
-0.37338 1.87711 -0.580569 1.21881e-05
-1.0633 1.59133 -0.580569 6.18677e-06
-1.59133 1.0633 -0.580569 1.58961e-05
-1.87711 0.37338 -0.580569 1.02119e-05
-1.87711 -0.37338 -0.580569 3.05246e-06
-1.59133 -1.0633 -0.580569 1.26093e-05
-1.0633 -1.59133 -0.580569 1.65629e-05
-0.37338 -1.87711 -0.580569 3.6073e-06
0.37338 -1.87711 -0.580569 7.86737e-07
1.0633 -1.59133 -0.580569 3.35664e-06
1.59133 -1.0633 -0.580569 3.61394e-06
1.87711 -0.37338 -0.580569 2.57327e-06
1.95213 0.388302 -0.196034 7.71354e-06
1.65493 1.10579 -0.196034 9.97416e-06
1.10579 1.65493 -0.196034 2.46338e-05
0.388302 1.95213 -0.196034 6.6049e-06
-0.388302 1.95213 -0.196034 2.18634e-05
-1.10579 1.65493 -0.196034 6.73224e-06
-1.65493 1.10579 -0.196034 2.95012e-05
-1.95213 0.388302 -0.196034 1.54382e-05
-1.95213 -0.388302 -0.196034 3.4362e-06
-1.65493 -1.10579 -0.196034 1.9181e-05
-1.10579 -1.65493 -0.196034 2.69349e-05
-0.388302 -1.95213 -0.196034 5.11217e-06
0.388302 -1.95213 -0.196034 3.17798e-06
1.10579 -1.65493 -0.196034 4.17429e-06
1.65493 -1.10579 -0.196034 6.10254e-06
1.95213 -0.388302 -0.196034 1.63635e-06
1.95213 0.388302 0.196034 2.30625e-06
1.65493 1.10579 0.196034 1.12044e-06
1.10579 1.65493 0.196034 8.83768e-07
0.388302 1.95213 0.196034 5.59985e-07
-0.388302 1.95213 0.196034 3.14474e-07
-1.10579 1.65493 0.196034 9.40915e-07
-1.65493 1.10579 0.196034 1.1785e-06
-1.95213 0.388302 0.196034 1.91722e-06
-1.95213 -0.388302 0.196034 1.90097e-06
-1.65493 -1.10579 0.196034 1.533e-06
-1.10579 -1.65493 0.196034 9.63284e-07
-0.388302 -1.95213 0.196034 4.74019e-07
0.388302 -1.95213 0.196034 5.14793e-07
1.10579 -1.65493 0.196034 1.02437e-06
1.65493 -1.10579 0.196034 1.39248e-06
1.95213 -0.388302 0.196034 1.7187e-06
1.87711 0.37338 0.580569 2.0458e-06
1.59133 1.0633 0.580569 1.80181e-06
1.0633 1.59133 0.580569 1.18574e-06
0.37338 1.87711 0.580569 6.05066e-07
-0.37338 1.87711 0.580569 4.47049e-07
-1.0633 1.59133 0.580569 1.14632e-06
-1.59133 1.0633 0.580569 1.66281e-06
-1.87711 0.37338 0.580569 2.28021e-06
-1.87711 -0.37338 0.580569 2.2773e-06
-1.59133 -1.0633 0.580569 1.86233e-06
-1.0633 -1.59133 0.580569 1.16283e-06
-0.37338 -1.87711 0.580569 4.8892e-07
0.37338 -1.87711 0.580569 5.69479e-07
1.0633 -1.59133 0.580569 1.27963e-06
1.59133 -1.0633 0.580569 1.80406e-06
1.87711 -0.37338 0.580569 2.17527e-06
1.72995 0.344109 0.942793 2.65718e-06
1.46658 0.979938 0.942793 2.87305e-06
0.979938 1.46658 0.942793 1.98281e-06
0.344109 1.72995 0.942793 8.23001e-07
-0.344109 1.72995 0.942793 7.085e-07
-0.979938 1.46658 0.942793 1.95813e-06
-1.46658 0.979938 0.942793 2.88335e-06
-1.72995 0.344109 0.942793 3.47349e-06
-1.72995 -0.344109 0.942793 3.49689e-06
-1.46658 -0.979938 0.942793 2.913e-06
-0.979938 -1.46658 0.942793 1.89034e-06
-0.344109 -1.72995 0.942793 6.74299e-07
0.344109 -1.72995 0.942793 8.09559e-07
0.979938 -1.46658 0.942793 2.00682e-06
1.46658 -0.979938 0.942793 2.96608e-06
1.72995 -0.344109 0.942793 3.50127e-06
1.51631 0.301614 1.26879 5.97797e-06
1.28547 0.858923 1.26879 5.67303e-06
0.858923 1.28547 1.26879 3.81545e-06
0.301614 1.51631 1.26879 1.324e-06
-0.301614 1.51631 1.26879 1.30601e-06
-0.858923 1.28547 1.26879 3.81968e-06
-1.28547 0.858923 1.26879 5.57711e-06
-1.51631 0.301614 1.26879 6.64889e-06
-1.51631 -0.301614 1.26879 6.61883e-06
-1.28547 -0.858923 1.26879 5.57717e-06
-0.858923 -1.28547 1.26879 3.69697e-06
-0.301614 -1.51631 1.26879 1.26106e-06
0.301614 -1.51631 1.26879 1.41939e-06
0.858923 -1.28547 1.26879 3.78453e-06
1.28547 -0.858923 1.26879 5.66075e-06
1.51631 -0.301614 1.26879 6.64623e-06
1.24441 0.247528 1.54602 1.34507e-05
1.05496 0.7049 1.54602 1.12433e-05
0.7049 1.05496 1.54602 7.49934e-06
0.247528 1.24441 1.54602 2.57361e-06
-0.247528 1.24441 1.54602 2.62625e-06
-0.7049 1.05496 1.54602 7.55064e-06
-1.05496 0.7049 1.54602 1.11742e-05
-1.24441 0.247528 1.54602 1.31961e-05
-1.24441 -0.247528 1.54602 1.31835e-05
-1.05496 -0.7049 1.54602 1.11588e-05
-0.7049 -1.05496 1.54602 7.43926e-06
-0.247528 -1.24441 1.54602 2.57994e-06
0.247528 -1.24441 1.54602 2.65081e-06
0.7049 -1.05496 1.54602 7.49557e-06
1.05496 -0.7049 1.54602 1.11887e-05
1.24441 -0.247528 1.54602 1.31896e-05
0.924678 0.18393 1.76384 2.64316e-05
0.783904 0.523788 1.76384 2.24832e-05
0.523788 0.783904 1.76384 1.50184e-05
0.18393 0.924678 1.76384 5.25641e-06
-0.18393 0.924678 1.76384 5.27932e-06
-0.523788 0.783904 1.76384 1.50421e-05
-0.783904 0.523788 1.76384 2.24926e-05
-0.924678 0.18393 1.76384 2.65334e-05
-0.924678 -0.18393 1.76384 2.6531e-05
-0.783904 -0.523788 1.76384 2.24838e-05
-0.523788 -0.783904 1.76384 1.50158e-05
-0.18393 -0.924678 1.76384 5.25643e-06
0.18393 -0.924678 1.76384 5.28404e-06
0.523788 -0.783904 1.76384 1.50148e-05
0.783904 -0.523788 1.76384 2.24657e-05
0.924678 -0.18393 1.76384 2.64915e-05
0.569414 0.113263 1.91388 7.06316e-05
0.482726 0.322547 1.91388 5.98868e-05
0.322547 0.482726 1.91388 4.00215e-05
0.113263 0.569414 1.91388 1.4052e-05
-0.113263 0.569414 1.91388 1.40585e-05
-0.322547 0.482726 1.91388 4.00449e-05
-0.482726 0.322547 1.91388 5.99359e-05
-0.569414 0.113263 1.91388 7.07049e-05
-0.569414 -0.113263 1.91388 7.0704e-05
-0.482726 -0.322547 1.91388 5.99344e-05
-0.322547 -0.482726 1.91388 4.00395e-05
-0.113263 -0.569414 1.91388 1.40552e-05
0.113263 -0.569414 1.91388 1.40556e-05
0.322547 -0.482726 1.91388 4.00157e-05
0.482726 -0.322547 1.91388 5.98781e-05
0.569414 -0.113263 1.91388 7.06242e-05
