x1 x2 x3 v_real v_imag v_abs
5 0 1 nan nan nan
5.03141 0 0.999507 nan nan nan
5.06279 0 0.998027 nan nan nan
5.09411 0 0.995562 nan nan nan
5.12533 0 0.992115 nan nan nan
5.15643 0 0.987688 nan nan nan
5.18738 0 0.982287 nan nan nan
5.21814 0 0.975917 nan nan nan
5.24869 0 0.968583 nan nan nan
5.27899 0 0.960294 nan nan nan
5.30902 0 0.951057 nan nan nan
5.33874 0 0.940881 nan nan nan
5.36812 0 0.929776 nan nan nan
5.39715 0 0.917755 nan nan nan
5.42578 0 0.904827 nan nan nan
5.45399 0 0.891007 nan nan nan
5.48175 0 0.876307 nan nan nan
5.50904 0 0.860742 nan nan nan
5.53583 0 0.844328 nan nan nan
5.56208 0 0.827081 nan nan nan
5.58779 0 0.809017 nan nan nan
5.61291 0 0.790155 nan nan nan
5.63742 0 0.770513 nan nan nan
5.66131 0 0.750111 nan nan nan
5.68455 0 0.728969 nan nan nan
5.70711 0 0.707107 nan nan nan
5.72897 0 0.684547 nan nan nan
5.75011 0 0.661312 nan nan nan
5.77051 0 0.637424 nan nan nan
5.79016 0 0.612907 nan nan nan
5.80902 0 0.587785 nan nan nan
5.82708 0 0.562083 nan nan nan
5.84433 0 0.535827 nan nan nan
5.86074 0 0.509041 nan nan nan
5.87631 0 0.481754 nan nan nan
5.89101 0 0.45399 nan nan nan
5.90483 0 0.425779 nan nan nan
5.91775 0 0.397148 nan nan nan
5.92978 0 0.368125 nan nan nan
5.94088 0 0.338738 nan nan nan
5.95106 0 0.309017 nan nan nan
5.96029 0 0.278991 nan nan nan
5.96858 0 0.24869 nan nan nan
5.97592 0 0.218143 nan nan nan
5.98229 0 0.187381 nan nan nan
5.98769 0 0.156434 nan nan nan
5.99211 0 0.125333 nan nan nan
5.99556 0 0.0941083 nan nan nan
5.99803 0 0.0627905 nan nan nan
5.99951 0 0.0314108 nan nan nan
6 0 -1.27104e-15 nan nan nan
5.99951 0 -0.0314108 nan nan nan
5.99803 0 -0.0627905 nan nan nan
5.99556 0 -0.0941083 nan nan nan
5.99211 0 -0.125333 nan nan nan
5.98769 0 -0.156434 nan nan nan
5.98229 0 -0.187381 nan nan nan
5.97592 0 -0.218143 nan nan nan
5.96858 0 -0.24869 nan nan nan
5.96029 0 -0.278991 nan nan nan
5.95106 0 -0.309017 nan nan nan
5.94088 0 -0.338738 nan nan nan
5.92978 0 -0.368125 nan nan nan
5.91775 0 -0.397148 nan nan nan
5.90483 0 -0.425779 nan nan nan
